distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
log_normal,fixed,10,300,0.3333,0.249981249531238,QE-FE,-2.68682990723131,0.776670803660607,-24.1898083784877,6.28743005507432,0.886,3.67987076973369,0.929,4.24724438080852,0
log_normal,fixed,10,300,1,0.5,DiVE,1.51736887778392,1.17543753336836,1.16420770912943,22.0471892545328,0.917,5.07442648946813,0.952,5.85681692152986,0
log_normal,fixed,10,300,1,0.5,QE-RE,-0.867064170083398,1.14484551612286,0.63164416374853,18.7822435924843,0.913,5.08637083567593,0.955,5.87060288318123,0
log_normal,fixed,10,300,1,0.5,QE-FE,-3.11673089175963,1.28551163448909,-49.814593609797,25.0298605703871,0.793,3.66657687187469,0.844,4.23190078954845,0
log_normal,fixed,10,300,3,0.75,DiVE,1.65929413191535,2.37791325305388,1.32901876547534,24.3570837200382,0.912,7.16480842702606,0.953,8.26950027200498,0
log_normal,fixed,10,300,3,0.75,QE-RE,0.399535445745581,2.32071820086542,-0.217131713612626,23.3247579049061,0.912,7.11551948288108,0.952,8.21261180929657,0
log_normal,fixed,10,300,3,0.75,QE-FE,-2.95111756304845,2.46313575143025,-74.8323436679427,56.0526629057855,0.638,3.67204602704589,0.708,4.23821319561436,0
log_normal,fixed,30,100,0,0,DiVE,4.09814511277776,0.761034143161296,7.38029275149965,11.6633216426304,0.912,3.75178955315151,0.929,3.91500622749962,0
log_normal,fixed,30,100,0,0,QE-RE,-8.27320088023292,1.26100747540467,2.33411139716004,3.14075426410064,0.779,3.69371098252257,0.797,3.85440102497551,0
log_normal,fixed,30,100,0,0,QE-FE,-9.62195978981878,1.52516038610349,-7.91253831977534,1.31034008328908,0.692,3.51220497388184,0.72,3.66499883594277,0
log_normal,fixed,30,100,0.3333,0.249981249531238,DiVE,4.24636271648532,0.896738432885668,4.75045900180263,9.8606951527393,0.926,4.28435136324818,0.935,4.47073643931429,0
log_normal,fixed,30,100,0.3333,0.249981249531238,QE-RE,-5.8245846648364,1.03166112903968,-3.07543613855881,6.62854645783109,0.882,4.13122611052061,0.896,4.31094967368605,0
log_normal,fixed,30,100,0.3333,0.249981249531238,QE-FE,-9.25477020416835,1.61509192091726,-30.5547943687116,9.69775186973906,0.696,3.52205009258378,0.711,3.67527225359654,0
log_normal,fixed,30,100,1,0.5,DiVE,5.00706896263968,1.42114175041622,3.12226759292209,8.71586085873749,0.907,5.20865173155296,0.924,5.43524728053504,0
log_normal,fixed,30,100,1,0.5,QE-RE,-2.00962297381487,1.15362372095068,-0.24273411262374,8.39348479331621,0.924,5.12122210484061,0.933,5.34401414280233,0
log_normal,fixed,30,100,1,0.5,QE-FE,-8.83939377493462,1.99596423273738,-53.6906733167468,29.0020170763883,0.657,3.52228462766639,0.675,3.67551699181973,0
log_normal,fixed,30,100,3,0.75,DiVE,4.26565800852783,2.33276085707615,1.66416166394028,7.64822549417239,0.935,7.31943669713892,0.95,7.63785917230281,0
log_normal,fixed,30,100,3,0.75,QE-RE,0.511385933412351,2.14138718151249,1.08959483672945,8.7139045738641,0.946,7.29013025835281,0.955,7.6072777954084,0
log_normal,fixed,30,100,3,0.75,QE-FE,-9.48918505251222,3.4959341068743,-76.8422761160877,59.0910188240581,0.545,3.52252011508897,0.559,3.67576272381317,0
log_normal,fixed,30,300,0,0,DiVE,1.55835257261424,0.212691770092653,3.16740851996358,8.40143408984477,0.935,2.12790995203161,0.946,2.22048187824509,0
log_normal,fixed,30,300,0,0,QE-RE,-2.95893243475552,0.266241710389029,8.70984681947007,3.65146179235718,0.902,2.19947807052034,0.909,2.29516347368224,0
log_normal,fixed,30,300,0,0,QE-FE,-3.39381544526264,0.292471789012232,-0.236647180601368,0.277809827491283,0.874,2.11198486644103,0.881,2.20386399273277,0
log_normal,fixed,30,300,0.3333,0.249981249531238,DiVE,1.79584808279291,0.284174623207447,2.08342897509111,7.55019343655243,0.925,2.44546767782284,0.938,2.55185453559975,0
log_normal,fixed,30,300,0.3333,0.249981249531238,QE-RE,-1.87055861884774,0.277381619421115,0.686820758970576,5.66711547587321,0.911,2.43482324750256,0.925,2.54074703332605,0
log_normal,fixed,30,300,0.3333,0.249981249531238,QE-FE,-3.09976295635969,0.35046038279922,-24.9279410154162,6.361625657181,0.832,2.11551770678376,0.852,2.20755052465217,0
log_normal,fixed,30,300,1,0.5,DiVE,1.54024033708312,0.385043691569093,1.31345232011161,7.19357158344042,0.926,2.98442104427701,0.939,3.11425436003221,0
log_normal,fixed,30,300,1,0.5,QE-RE,-1.00167205282387,0.362189662427266,-0.0985146238462607,7.19409715567789,0.934,2.96313580413379,0.946,3.09204313348713,0
log_normal,fixed,30,300,1,0.5,QE-FE,-3.36007421746165,0.484876618204574,-49.9034861899953,24.9716546072008,0.761,2.11654503386317,0.78,2.20862254424617,0
log_normal,fixed,30,300,3,0.75,DiVE,1.47839568990381,0.736538593124908,2.42352488061861,7.11758348124994,0.945,4.24594277774423,0.956,4.43065693877004,0
